0x00000000 STATUS_SUCCESS
0x00000001 STATUS_WAIT_1
0x00000002 STATUS_WAIT_2
0x00000003 STATUS_WAIT_3
0x0000003F STATUS_WAIT_63
0x00000080 STATUS_ABANDONED
0x000000BF STATUS_ABANDONED_WAIT_63
0x000000C0 STATUS_USER_APC
0x000000FF STATUS_ALREADY_COMPLETE
0x00000100 STATUS_KERNEL_APC
0x00000101 STATUS_ALERTED
0x00000102 STATUS_TIMEOUT
0x00000103 STATUS_PENDING
0x00000104 STATUS_REPARSE
0x00000105 STATUS_MORE_ENTRIES
0x00000106 STATUS_NOT_ALL_ASSIGNED
0x00000107 STATUS_SOME_NOT_MAPPED
0x00000108 STATUS_OPLOCK_BREAK_IN_PROGRESS
0x00000109 STATUS_VOLUME_MOUNTED
0x0000010A STATUS_RXACT_COMMITTED
0x0000010B STATUS_NOTIFY_CLEANUP
0x0000010C STATUS_NOTIFY_ENUM_DIR
0x0000010D STATUS_NO_QUOTAS_FOR_ACCOUNT
0x0000010E STATUS_PRIMARY_TRANSPORT_CONNECT_FAILED
0x00000110 STATUS_PAGE_FAULT_TRANSITION
0x00000111 STATUS_PAGE_FAULT_DEMAND_ZERO
0x00000112 STATUS_PAGE_FAULT_COPY_ON_WRITE
0x00000113 STATUS_PAGE_FAULT_GUARD_PAGE
0x00000114 STATUS_PAGE_FAULT_PAGING_FILE
0x00000115 STATUS_CACHE_PAGE_LOCKED
0x00000116 STATUS_CRASH_DUMP
0x00000117 STATUS_BUFFER_ALL_ZEROS
0x00000118 STATUS_REPARSE_OBJECT
0x00000119 STATUS_RESOURCE_REQUIREMENTS_CHANGED
0x00000120 STATUS_TRANSLATION_COMPLETE
0x00000121 STATUS_DS_MEMBERSHIP_EVALUATED_LOCALLY
0x00000122 STATUS_NOTHING_TO_TERMINATE
0x00000123 STATUS_PROCESS_NOT_IN_JOB
0x00000124 STATUS_PROCESS_IN_JOB
0x00000125 STATUS_VOLSNAP_HIBERNATE_READY
0x00000126 STATUS_FSFILTER_OP_COMPLETED_SUCCESSFULLY
0x00000127 STATUS_INTERRUPT_VECTOR_ALREADY_CONNECTED
0x00000128 STATUS_INTERRUPT_STILL_CONNECTED
0x00000129 STATUS_PROCESS_CLONED
0x0000012A STATUS_FILE_LOCKED_WITH_ONLY_READERS
0x0000012B STATUS_FILE_LOCKED_WITH_WRITERS
0x0000012C STATUS_VALID_IMAGE_HASH
0x0000012D STATUS_VALID_CATALOG_HASH
0x0000012E STATUS_VALID_STRONG_CODE_HASH
0x0000012F STATUS_GHOSTED
0x00000202 STATUS_RESOURCEMANAGER_READ_ONLY
0x00000210 STATUS_RING_PREVIOUSLY_EMPTY
0x00000211 STATUS_RING_PREVIOUSLY_FULL
0x00000212 STATUS_RING_PREVIOUSLY_ABOVE_QUOTA
0x00000213 STATUS_RING_NEWLY_EMPTY
0x00000214 STATUS_RING_SIGNAL_OPPOSITE_ENDPOINT
0x00000215 STATUS_OPLOCK_SWITCHED_TO_NEW_HANDLE
0x00000216 STATUS_OPLOCK_HANDLE_CLOSED
0x00000367 STATUS_WAIT_FOR_OPLOCK
0x00000368 STATUS_REPARSE_GLOBAL
0x00010001 DBG_EXCEPTION_HANDLED
0x00010002 DBG_CONTINUE
0x001C0001 STATUS_FLT_IO_COMPLETE
0x00293000 STATUS_RTPM_CONTEXT_CONTINUE
0x00293001 STATUS_RTPM_CONTEXT_COMPLETE
0x00350059 STATUS_HV_PENDING_PAGE_REQUESTS
0x00E70000 STATUS_SPACES_REPAIRED
0x00E70001 STATUS_SPACES_PAUSE
0x00E70002 STATUS_SPACES_COMPLETE
0x00E70003 STATUS_SPACES_REDIRECT
0x40000000 STATUS_OBJECT_NAME_EXISTS
0x40000001 STATUS_THREAD_WAS_SUSPENDED
0x40000002 STATUS_WORKING_SET_LIMIT_RANGE
0x40000003 STATUS_IMAGE_NOT_AT_BASE
0x40000004 STATUS_RXACT_STATE_CREATED
0x40000005 STATUS_SEGMENT_NOTIFICATION
0x40000006 STATUS_LOCAL_USER_SESSION_KEY
0x40000007 STATUS_BAD_CURRENT_DIRECTORY
0x40000008 STATUS_SERIAL_MORE_WRITES
0x40000009 STATUS_REGISTRY_RECOVERED
0x4000000A STATUS_FT_READ_RECOVERY_FROM_BACKUP
0x4000000B STATUS_FT_WRITE_RECOVERY
0x4000000C STATUS_SERIAL_COUNTER_TIMEOUT
0x4000000D STATUS_NULL_LM_PASSWORD
0x4000000E STATUS_IMAGE_MACHINE_TYPE_MISMATCH
0x4000000F STATUS_RECEIVE_PARTIAL
0x40000010 STATUS_RECEIVE_EXPEDITED
0x40000011 STATUS_RECEIVE_PARTIAL_EXPEDITED
0x40000012 STATUS_EVENT_DONE
0x40000013 STATUS_EVENT_PENDING
0x40000014 STATUS_CHECKING_FILE_SYSTEM
0x40000015 STATUS_FATAL_APP_EXIT
0x40000016 STATUS_PREDEFINED_HANDLE
0x40000017 STATUS_WAS_UNLOCKED
0x40000018 STATUS_SERVICE_NOTIFICATION
0x40000019 STATUS_WAS_LOCKED
0x4000001A STATUS_LOG_HARD_ERROR
0x4000001B STATUS_ALREADY_WIN32
0x4000001C STATUS_WX86_UNSIMULATE
0x4000001D STATUS_WX86_CONTINUE
0x4000001E STATUS_WX86_SINGLE_STEP
0x4000001F STATUS_WX86_BREAKPOINT
0x40000020 STATUS_WX86_EXCEPTION_CONTINUE
0x40000021 STATUS_WX86_EXCEPTION_LASTCHANCE
0x40000022 STATUS_WX86_EXCEPTION_CHAIN
0x40000023 STATUS_IMAGE_MACHINE_TYPE_MISMATCH_EXE
0x40000024 STATUS_NO_YIELD_PERFORMED
0x40000025 STATUS_TIMER_RESUME_IGNORED
0x40000026 STATUS_ARBITRATION_UNHANDLED
0x40000027 STATUS_CARDBUS_NOT_SUPPORTED
0x40000028 STATUS_WX86_CREATEWX86TIB
0x40000029 STATUS_MP_PROCESSOR_MISMATCH
0x4000002A STATUS_HIBERNATED
0x4000002B STATUS_RESUME_HIBERNATION
0x4000002C STATUS_FIRMWARE_UPDATED
0x4000002D STATUS_DRIVERS_LEAKING_LOCKED_PAGES
0x4000002E STATUS_MESSAGE_RETRIEVED
0x4000002F STATUS_SYSTEM_POWERSTATE_TRANSITION
0x40000030 STATUS_ALPC_CHECK_COMPLETION_LIST
0x40000031 STATUS_SYSTEM_POWERSTATE_COMPLEX_TRANSITION
0x40000032 STATUS_ACCESS_AUDIT_BY_POLICY
0x40000033 STATUS_ABANDON_HIBERFILE
0x40000034 STATUS_BIZRULES_NOT_ENABLED
0x40000035 STATUS_FT_READ_FROM_COPY
0x40000036 STATUS_IMAGE_AT_DIFFERENT_BASE
0x40000294 STATUS_WAKE_SYSTEM
0x40000370 STATUS_DS_SHUTTING_DOWN
0x40000807 STATUS_DISK_REPAIR_REDIRECTED
0x4000A144 STATUS_SERVICES_FAILED_AUTOSTART
0x40010001 DBG_REPLY_LATER
0x40010002 DBG_UNABLE_TO_PROVIDE_HANDLE
0x40010003 DBG_TERMINATE_THREAD
0x40010004 DBG_TERMINATE_PROCESS
0x40010005 DBG_CONTROL_C
0x40010006 DBG_PRINTEXCEPTION_C
0x40010007 DBG_RIPEXCEPTION
0x40010008 DBG_CONTROL_BREAK
0x40010009 DBG_COMMAND_EXCEPTION
0x4001000A DBG_PRINTEXCEPTION_WIDE_C
0x40020056 RPC_NT_UUID_LOCAL_ONLY
0x400200AF RPC_NT_SEND_INCOMPLETE
0x400A0004 STATUS_CTX_CDM_CONNECT
0x400A0005 STATUS_CTX_CDM_DISCONNECT
0x4015000D STATUS_SXS_RELEASE_ACTIVATION_CONTEXT
0x40190001 STATUS_HEURISTIC_DAMAGE_POSSIBLE
0x40190034 STATUS_RECOVERY_NOT_NEEDED
0x40190035 STATUS_RM_ALREADY_STARTED
0x401A000C STATUS_LOG_NO_RESTART
0x401B00EC STATUS_VIDEO_DRIVER_DEBUG_REPORT_REQUEST
0x401E000A STATUS_GRAPHICS_PARTIAL_DATA_POPULATED
0x401E0201 STATUS_GRAPHICS_SKIP_ALLOCATION_PREPARATION
0x401E0307 STATUS_GRAPHICS_MODE_NOT_PINNED
0x401E031E STATUS_GRAPHICS_NO_PREFERRED_MODE
0x401E034B STATUS_GRAPHICS_DATASET_IS_EMPTY
0x401E034C STATUS_GRAPHICS_NO_MORE_ELEMENTS_IN_DATASET
0x401E0351 STATUS_GRAPHICS_PATH_CONTENT_GEOMETRY_TRANSFORMATION_NOT_PINNED
0x401E042F STATUS_GRAPHICS_UNKNOWN_CHILD_STATUS
0x401E0437 STATUS_GRAPHICS_LEADLINK_START_DEFERRED
0x401E0439 STATUS_GRAPHICS_POLLING_TOO_FREQUENTLY
0x401E043A STATUS_GRAPHICS_START_DEFERRED
0x401E043C STATUS_GRAPHICS_DEPENDABLE_CHILD_STATUS
0x40230001 STATUS_NDIS_INDICATION_REQUIRED
0x80000001 STATUS_GUARD_PAGE_VIOLATION
0x80000002 STATUS_DATATYPE_MISALIGNMENT
0x80000003 STATUS_BREAKPOINT
0x80000004 STATUS_SINGLE_STEP
0x80000005 STATUS_BUFFER_OVERFLOW
0x80000006 STATUS_NO_MORE_FILES
0x80000007 STATUS_WAKE_SYSTEM_DEBUGGER
0x8000000A STATUS_HANDLES_CLOSED
0x8000000B STATUS_NO_INHERITANCE
0x8000000C STATUS_GUID_SUBSTITUTION_MADE
0x8000000D STATUS_PARTIAL_COPY
0x8000000E STATUS_DEVICE_PAPER_EMPTY
0x8000000F STATUS_DEVICE_POWERED_OFF
0x80000010 STATUS_DEVICE_OFF_LINE
0x80000011 STATUS_DEVICE_BUSY
0x80000012 STATUS_NO_MORE_EAS
0x80000013 STATUS_INVALID_EA_NAME
0x80000014 STATUS_EA_LIST_INCONSISTENT
0x80000015 STATUS_INVALID_EA_FLAG
0x80000016 STATUS_VERIFY_REQUIRED
0x80000017 STATUS_EXTRANEOUS_INFORMATION
0x80000018 STATUS_RXACT_COMMIT_NECESSARY
0x8000001A STATUS_NO_MORE_ENTRIES
0x8000001B STATUS_FILEMARK_DETECTED
0x8000001C STATUS_MEDIA_CHANGED
0x8000001D STATUS_BUS_RESET
0x8000001E STATUS_END_OF_MEDIA
0x8000001F STATUS_BEGINNING_OF_MEDIA
0x80000020 STATUS_MEDIA_CHECK
0x80000021 STATUS_SETMARK_DETECTED
0x80000022 STATUS_NO_DATA_DETECTED
0x80000023 STATUS_REDIRECTOR_HAS_OPEN_HANDLES
0x80000024 STATUS_SERVER_HAS_OPEN_HANDLES
0x80000025 STATUS_ALREADY_DISCONNECTED
0x80000026 STATUS_LONGJUMP
0x80000027 STATUS_CLEANER_CARTRIDGE_INSTALLED
0x80000028 STATUS_PLUGPLAY_QUERY_VETOED
0x80000029 STATUS_UNWIND_CONSOLIDATE
0x8000002A STATUS_REGISTRY_HIVE_RECOVERED
0x8000002B STATUS_DLL_MIGHT_BE_INSECURE
0x8000002C STATUS_DLL_MIGHT_BE_INCOMPATIBLE
0x8000002D STATUS_STOPPED_ON_SYMLINK
0x8000002E STATUS_CANNOT_GRANT_REQUESTED_OPLOCK
0x8000002F STATUS_NO_ACE_CONDITION
0x80000030 STATUS_DEVICE_SUPPORT_IN_PROGRESS
0x80000031 STATUS_DEVICE_POWER_CYCLE_REQUIRED
0x80000032 STATUS_NO_WORK_DONE
0x80000288 STATUS_DEVICE_REQUIRES_CLEANING
0x80000289 STATUS_DEVICE_DOOR_OPEN
0x80000803 STATUS_DATA_LOST_REPAIR
0x8000A127 STATUS_GPIO_INTERRUPT_ALREADY_UNMASKED
0x8000CF00 STATUS_CLOUD_FILE_PROPERTY_BLOB_CHECKSUM_MISMATCH
0x8000CF04 STATUS_CLOUD_FILE_PROPERTY_BLOB_TOO_LARGE
0x8000CF05 STATUS_CLOUD_FILE_TOO_MANY_PROPERTY_BLOBS
0x80010001 DBG_EXCEPTION_NOT_HANDLED
0x80130001 STATUS_CLUSTER_NODE_ALREADY_UP
0x80130002 STATUS_CLUSTER_NODE_ALREADY_DOWN
0x80130003 STATUS_CLUSTER_NETWORK_ALREADY_ONLINE
0x80130004 STATUS_CLUSTER_NETWORK_ALREADY_OFFLINE
0x80130005 STATUS_CLUSTER_NODE_ALREADY_MEMBER
0x80190009 STATUS_COULD_NOT_RESIZE_LOG
0x80190029 STATUS_NO_TXF_METADATA
0x80190031 STATUS_CANT_RECOVER_WITH_HANDLE_OPEN
0x80190041 STATUS_TXF_METADATA_ALREADY_PRESENT
0x80190042 STATUS_TRANSACTION_SCOPE_CALLBACKS_NOT_SET
0x801B00EB STATUS_VIDEO_HUNG_DISPLAY_DRIVER_THREAD_RECOVERED
0x801C0001 STATUS_FLT_BUFFER_TOO_SMALL
0x80210001 STATUS_FVE_PARTIAL_METADATA
0x80210002 STATUS_FVE_TRANSIENT_STATE
0x80370001 STATUS_VID_REMOTE_NODE_PARENT_GPA_PAGES_USED
0x80380001 STATUS_VOLMGR_INCOMPLETE_REGENERATION
0x80380002 STATUS_VOLMGR_INCOMPLETE_DISK_MIGRATION
0x80390001 STATUS_BCD_NOT_ALL_ENTRIES_IMPORTED
0x80390003 STATUS_BCD_NOT_ALL_ENTRIES_SYNCHRONIZED
0x803A0001 STATUS_QUERY_STORAGE_ERROR
0x803F0001 STATUS_GDI_HANDLE_LEAK
0x80430006 STATUS_SECUREBOOT_NOT_ENABLED
0xC0000001 STATUS_UNSUCCESSFUL
0xC0000002 STATUS_NOT_IMPLEMENTED
0xC0000003 STATUS_INVALID_INFO_CLASS
0xC0000004 STATUS_INFO_LENGTH_MISMATCH
0xC0000005 STATUS_ACCESS_VIOLATION
0xC0000006 STATUS_IN_PAGE_ERROR
0xC0000007 STATUS_PAGEFILE_QUOTA
0xC0000008 STATUS_INVALID_HANDLE
0xC0000009 STATUS_BAD_INITIAL_STACK
0xC000000A STATUS_BAD_INITIAL_PC
0xC000000B STATUS_INVALID_CID
0xC000000C STATUS_TIMER_NOT_CANCELED
0xC000000D STATUS_INVALID_PARAMETER
0xC000000E STATUS_NO_SUCH_DEVICE
0xC000000F STATUS_NO_SUCH_FILE
0xC0000010 STATUS_INVALID_DEVICE_REQUEST
0xC0000011 STATUS_END_OF_FILE
0xC0000012 STATUS_WRONG_VOLUME
0xC0000013 STATUS_NO_MEDIA_IN_DEVICE
0xC0000014 STATUS_UNRECOGNIZED_MEDIA
0xC0000015 STATUS_NONEXISTENT_SECTOR
0xC0000016 STATUS_MORE_PROCESSING_REQUIRED
