0x00000000 STATUS_WAIT_0
0x00000001 STATUS_WAIT_1
0x00000002 STATUS_WAIT_2
0x00000003 STATUS_WAIT_3
0x0000003F STATUS_WAIT_63
0x00000080 STATUS_ABANDONED
0x00000080 STATUS_ABANDONED_WAIT_0
0x000000BF STATUS_ABANDONED_WAIT_63
0x000000C0 STATUS_USER_APC
0x00000100 STATUS_KERNEL_APC
0x00000101 STATUS_ALERTED
0x00000102 STATUS_TIMEOUT
0x00000103 STATUS_PENDING
0x00000104 STATUS_REPARSE
0x00000105 STATUS_MORE_ENTRIES
0x00000106 STATUS_NOT_ALL_ASSIGNED
0x00000107 STATUS_SOME_NOT_MAPPED
0x00000108 STATUS_OPLOCK_BREAK_IN_PROGRESS
0x00000109 STATUS_VOLUME_MOUNTED
0x0000010A STATUS_RXACT_COMMITTED
0x0000010B STATUS_NOTIFY_CLEANUP
0x0000010C STATUS_NOTIFY_ENUM_DIR
0x0000010D STATUS_NO_QUOTAS_FOR_ACCOUNT
0x0000010E STATUS_PRIMARY_TRANSPORT_CONNECT_FAILED
0x00000110 STATUS_PAGE_FAULT_TRANSITION
0x00000111 STATUS_PAGE_FAULT_DEMAND_ZERO
0x00000112 STATUS_PAGE_FAULT_COPY_ON_WRITE
0x00000113 STATUS_PAGE_FAULT_GUARD_PAGE
0x00000114 STATUS_PAGE_FAULT_PAGING_FILE
0x00000115 STATUS_CACHE_PAGE_LOCKED
0x00000116 STATUS_CRASH_DUMP
0x00000117 STATUS_BUFFER_ALL_ZEROS
0x00000118 STATUS_REPARSE_OBJECT
0x00000119 STATUS_RESOURCE_REQUIREMENTS_CHANGED
0x00000120 STATUS_TRANSLATION_COMPLETE
0x00000121 STATUS_DS_MEMBERSHIP_EVALUATED_LOCALLY
0x00000122 STATUS_NOTHING_TO_TERMINATE
0x00000123 STATUS_PROCESS_NOT_IN_JOB
0x00000124 STATUS_PROCESS_IN_JOB
0x00000125 STATUS_VOLSNAP_HIBERNATE_READY
0x00000126 STATUS_FSFILTER_OP_COMPLETED_SUCCESSFULLY
0x00000127 STATUS_INTERRUPT_VECTOR_ALREADY_CONNECTED
0x00000128 STATUS_INTERRUPT_STILL_CONNECTED
0x00000129 STATUS_PROCESS_CLONED
0x0000012A STATUS_FILE_LOCKED_WITH_ONLY_READERS
0x0000012B STATUS_FILE_LOCKED_WITH_WRITERS
0x00000202 STATUS_RESOURCEMANAGER_READ_ONLY
0x00000210 STATUS_RING_PREVIOUSLY_EMPTY
0x00000211 STATUS_RING_PREVIOUSLY_FULL
0x00000212 STATUS_RING_PREVIOUSLY_ABOVE_QUOTA
0x00000213 STATUS_RING_NEWLY_EMPTY
0x00000214 STATUS_RING_SIGNAL_OPPOSITE_ENDPOINT
0x00000215 STATUS_OPLOCK_SWITCHED_TO_NEW_HANDLE
0x00000216 STATUS_OPLOCK_HANDLE_CLOSED
0x00000367 STATUS_WAIT_FOR_OPLOCK
0x00010001 DBG_EXCEPTION_HANDLED
0x00010002 DBG_CONTINUE
0x001C0001 STATUS_FLT_IO_COMPLETE
0x003C0001 STATUS_DIS_ATTRIBUTE_BUILT
0x40000000 STATUS_OBJECT_NAME_EXISTS
0x40000001 STATUS_THREAD_WAS_SUSPENDED
0x40000002 STATUS_WORKING_SET_LIMIT_RANGE
0x40000003 STATUS_IMAGE_NOT_AT_BASE
0x40000004 STATUS_RXACT_STATE_CREATED
0x40000005 STATUS_SEGMENT_NOTIFICATION
0x40000006 STATUS_LOCAL_USER_SESSION_KEY
0x40000007 STATUS_BAD_CURRENT_DIRECTORY
0x40000008 STATUS_SERIAL_MORE_WRITES
0x40000009 STATUS_REGISTRY_RECOVERED
0x4000000A STATUS_FT_READ_RECOVERY_FROM_BACKUP
0x4000000B STATUS_FT_WRITE_RECOVERY
0x4000000C STATUS_SERIAL_COUNTER_TIMEOUT
0x4000000D STATUS_NULL_LM_PASSWORD
0x4000000E STATUS_IMAGE_MACHINE_TYPE_MISMATCH
0x4000000F STATUS_RECEIVE_PARTIAL
0x40000010 STATUS_RECEIVE_EXPEDITED
0x40000011 STATUS_RECEIVE_PARTIAL_EXPEDITED
0x40000012 STATUS_EVENT_DONE
0x40000013 STATUS_EVENT_PENDING
0x40000014 STATUS_CHECKING_FILE_SYSTEM
0x40000015 STATUS_FATAL_APP_EXIT
0x40000016 STATUS_PREDEFINED_HANDLE
0x40000017 STATUS_WAS_UNLOCKED
0x40000018 STATUS_SERVICE_NOTIFICATION
0x40000019 STATUS_WAS_LOCKED
0x4000001A STATUS_LOG_HARD_ERROR
0x4000001B STATUS_ALREADY_WIN32
0x4000001C STATUS_WX86_UNSIMULATE
0x4000001D STATUS_WX86_CONTINUE
0x4000001E STATUS_WX86_SINGLE_STEP
0x4000001F STATUS_WX86_BREAKPOINT
0x40000020 STATUS_WX86_EXCEPTION_CONTINUE
0x40000021 STATUS_WX86_EXCEPTION_LASTCHANCE
0x40000022 STATUS_WX86_EXCEPTION_CHAIN
0x40000023 STATUS_IMAGE_MACHINE_TYPE_MISMATCH_EXE
0x40000024 STATUS_NO_YIELD_PERFORMED
0x40000025 STATUS_TIMER_RESUME_IGNORED
0x40000026 STATUS_ARBITRATION_UNHANDLED
0x40000027 STATUS_CARDBUS_NOT_SUPPORTED
0x40000028 STATUS_WX86_CREATEWX86TIB
0x40000029 STATUS_MP_PROCESSOR_MISMATCH
0x4000002A STATUS_HIBERNATED    
0x4000002B STATUS_RESUME_HIBERNATION    
0x4000002C STATUS_FIRMWARE_UPDATED
0x4000002D STATUS_DRIVERS_LEAKING_LOCKED_PAGES
0x4000002E STATUS_MESSAGE_RETRIEVED
0x4000002F STATUS_SYSTEM_POWERSTATE_TRANSITION    
0x40000030 STATUS_ALPC_CHECK_COMPLETION_LIST
0x40000031 STATUS_SYSTEM_POWERSTATE_COMPLEX_TRANSITION    
0x40000032 STATUS_ACCESS_AUDIT_BY_POLICY    
0x40000033 STATUS_ABANDON_HIBERFILE
0x40000034 STATUS_BIZRULES_NOT_ENABLED
0x40010001 DBG_REPLY_LATER
0x40010002 DBG_UNABLE_TO_PROVIDE_HANDLE
0x40010003 DBG_TERMINATE_THREAD
0x40010004 DBG_TERMINATE_PROCESS
0x40010005 DBG_CONTROL_C
0x40010006 DBG_PRINTEXCEPTION_C
0x40010007 DBG_RIPEXCEPTION
0x40010008 DBG_CONTROL_BREAK
0x40010009 DBG_COMMAND_EXCEPTION
0x40190001 STATUS_HEURISTIC_DAMAGE_POSSIBLE
0x80000001 STATUS_GUARD_PAGE_VIOLATION
0x80000002 STATUS_DATATYPE_MISALIGNMENT
0x80000003 STATUS_BREAKPOINT
0x80000004 STATUS_SINGLE_STEP
0x80000005 STATUS_BUFFER_OVERFLOW
0x80000006 STATUS_NO_MORE_FILES
0x80000007 STATUS_WAKE_SYSTEM_DEBUGGER
0x8000000A STATUS_HANDLES_CLOSED
0x8000000B STATUS_NO_INHERITANCE
0x8000000C STATUS_GUID_SUBSTITUTION_MADE
0x8000000D STATUS_PARTIAL_COPY
0x8000000E STATUS_DEVICE_PAPER_EMPTY
0x8000000F STATUS_DEVICE_POWERED_OFF
0x80000010 STATUS_DEVICE_OFF_LINE
0x80000011 STATUS_DEVICE_BUSY
0x80000012 STATUS_NO_MORE_EAS
0x80000013 STATUS_INVALID_EA_NAME
0x80000014 STATUS_EA_LIST_INCONSISTENT
0x80000015 STATUS_INVALID_EA_FLAG
0x80000016 STATUS_VERIFY_REQUIRED
0x80000017 STATUS_EXTRANEOUS_INFORMATION
0x80000018 STATUS_RXACT_COMMIT_NECESSARY
0x8000001A STATUS_NO_MORE_ENTRIES
0x8000001B STATUS_FILEMARK_DETECTED
0x8000001C STATUS_MEDIA_CHANGED
0x8000001D STATUS_BUS_RESET
0x8000001E STATUS_END_OF_MEDIA
0x8000001F STATUS_BEGINNING_OF_MEDIA
0x80000020 STATUS_MEDIA_CHECK
0x80000021 STATUS_SETMARK_DETECTED
0x80000022 STATUS_NO_DATA_DETECTED
0x80000023 STATUS_REDIRECTOR_HAS_OPEN_HANDLES
0x80000024 STATUS_SERVER_HAS_OPEN_HANDLES
0x80000025 STATUS_ALREADY_DISCONNECTED
0x80000026 STATUS_LONGJUMP
0x80000027 STATUS_CLEANER_CARTRIDGE_INSTALLED
0x80000028 STATUS_PLUGPLAY_QUERY_VETOED
0x80000029 STATUS_UNWIND_CONSOLIDATE
0x8000002A STATUS_REGISTRY_HIVE_RECOVERED
0x8000002B STATUS_DLL_MIGHT_BE_INSECURE
0x8000002C STATUS_DLL_MIGHT_BE_INCOMPATIBLE
0x8000002D STATUS_STOPPED_ON_SYMLINK
0x8000002E STATUS_CANNOT_GRANT_REQUESTED_OPLOCK
0x8000002F STATUS_NO_ACE_CONDITION
0x80010001 DBG_EXCEPTION_NOT_HANDLED
0x80130001 STATUS_CLUSTER_NODE_ALREADY_UP
0x80130002 STATUS_CLUSTER_NODE_ALREADY_DOWN
0x80130003 STATUS_CLUSTER_NETWORK_ALREADY_ONLINE
0x80130004 STATUS_CLUSTER_NETWORK_ALREADY_OFFLINE
0x80130005 STATUS_CLUSTER_NODE_ALREADY_MEMBER
0x801C0001 STATUS_FLT_BUFFER_TOO_SMALL
0x80210001 STATUS_FVE_PARTIAL_METADATA
0x80210002 STATUS_FVE_TRANSIENT_STATE
0xC0000001 STATUS_UNSUCCESSFUL
0xC0000002 STATUS_NOT_IMPLEMENTED
0xC0000003 STATUS_INVALID_INFO_CLASS
0xC0000004 STATUS_INFO_LENGTH_MISMATCH
0xC0000005 STATUS_ACCESS_VIOLATION
0xC0000006 STATUS_IN_PAGE_ERROR
0xC0000007 STATUS_PAGEFILE_QUOTA
0xC0000008 STATUS_INVALID_HANDLE
0xC0000009 STATUS_BAD_INITIAL_STACK
0xC000000A STATUS_BAD_INITIAL_PC
0xC000000B STATUS_INVALID_CID
0xC000000C STATUS_TIMER_NOT_CANCELED
0xC000000D STATUS_INVALID_PARAMETER
0xC000000E STATUS_NO_SUCH_DEVICE
0xC000000F STATUS_NO_SUCH_FILE
0xC0000010 STATUS_INVALID_DEVICE_REQUEST
0xC0000011 STATUS_END_OF_FILE
0xC0000012 STATUS_WRONG_VOLUME
0xC0000013 STATUS_NO_MEDIA_IN_DEVICE
0xC0000014 STATUS_UNRECOGNIZED_MEDIA
0xC0000015 STATUS_NONEXISTENT_SECTOR
0xC0000016 STATUS_MORE_PROCESSING_REQUIRED
0xC0000017 STATUS_NO_MEMORY
0xC0000018 STATUS_CONFLICTING_ADDRESSES
0xC0000019 STATUS_NOT_MAPPED_VIEW
0xC000001A STATUS_UNABLE_TO_FREE_VM
0xC000001B STATUS_UNABLE_TO_DELETE_SECTION
0xC000001C STATUS_INVALID_SYSTEM_SERVICE
0xC000001D STATUS_ILLEGAL_INSTRUCTION
0xC000001E STATUS_INVALID_LOCK_SEQUENCE
0xC000001F STATUS_INVALID_VIEW_SIZE
0xC0000020 STATUS_INVALID_FILE_FOR_SECTION
0xC0000021 STATUS_ALREADY_COMMITTED
0xC0000022 STATUS_ACCESS_DENIED
0xC0000023 STATUS_BUFFER_TOO_SMALL
0xC0000024 STATUS_OBJECT_TYPE_MISMATCH
0xC0000025 STATUS_NONCONTINUABLE_EXCEPTION
0xC0000026 STATUS_INVALID_DISPOSITION
0xC0000027 STATUS_UNWIND
0xC0000028 STATUS_BAD_STACK
0xC0000029 STATUS_INVALID_UNWIND_TARGET
0xC000002A STATUS_NOT_LOCKED
0xC000002B STATUS_PARITY_ERROR
0xC000002C STATUS_UNABLE_TO_DECOMMIT_VM
0xC000002D STATUS_NOT_COMMITTED
0xC000002E STATUS_INVALID_PORT_ATTRIBUTES
0xC000002F STATUS_PORT_MESSAGE_TOO_LONG
0xC0000030 STATUS_INVALID_PARAMETER_MIX
0xC0000031 STATUS_INVALID_QUOTA_LOWER
0xC0000032 STATUS_DISK_CORRUPT_ERROR
0xC0000033 STATUS_OBJECT_NAME_INVALID
0xC0000034 STATUS_OBJECT_NAME_NOT_FOUND
0xC0000035 STATUS_OBJECT_NAME_COLLISION
0xC0000037 STATUS_PORT_DISCONNECTED
0xC0000038 STATUS_DEVICE_ALREADY_ATTACHED
0xC0000039 STATUS_OBJECT_PATH_INVALID
0xC000003A STATUS_OBJECT_PATH_NOT_FOUND
0xC000003B STATUS_OBJECT_PATH_SYNTAX_BAD
0xC000003C STATUS_DATA_OVERRUN
0xC000003D STATUS_DATA_LATE_ERROR
0xC000003E STATUS_DATA_ERROR
0xC000003F STATUS_CRC_ERROR
0xC0000040 STATUS_SECTION_TOO_BIG
0xC0000041 STATUS_PORT_CONNECTION_REFUSED
0xC0000042 STATUS_INVALID_PORT_HANDLE
0xC0000043 STATUS_SHARING_VIOLATION
0xC0000044 STATUS_QUOTA_EXCEEDED
0xC0000045 STATUS_INVALID_PAGE_PROTECTION
0xC0000046 STATUS_MUTANT_NOT_OWNED
0xC0000047 STATUS_SEMAPHORE_LIMIT_EXCEEDED
0xC0000048 STATUS_PORT_ALREADY_SET
0xC0000049 STATUS_SECTION_NOT_IMAGE
0xC000004A STATUS_SUSPEND_COUNT_EXCEEDED
0xC000004B STATUS_THREAD_IS_TERMINATING
0xC000004C STATUS_BAD_WORKING_SET_LIMIT
0xC000004D STATUS_INCOMPATIBLE_FILE_MAP
0xC000004E STATUS_SECTION_PROTECTION
0xC000004F STATUS_EAS_NOT_SUPPORTED
0xC0000050 STATUS_EA_TOO_LARGE
0xC0000051 STATUS_NONEXISTENT_EA_ENTRY
0xC0000052 STATUS_NO_EAS_ON_FILE
0xC0000053 STATUS_EA_CORRUPT_ERROR
0xC0000054 STATUS_FILE_LOCK_CONFLICT
0xC0000055 STATUS_LOCK_NOT_GRANTED
0xC0000056 STATUS_DELETE_PENDING
0xC0000057 STATUS_CTL_FILE_NOT_SUPPORTED
0xC0000058 STATUS_UNKNOWN_REVISION
0xC0000059 STATUS_REVISION_MISMATCH
0xC000005A STATUS_INVALID_OWNER
0xC000005B STATUS_INVALID_PRIMARY_GROUP
0xC000005C STATUS_NO_IMPERSONATION_TOKEN
0xC000005D STATUS_CANT_DISABLE_MANDATORY
0xC000005E STATUS_NO_LOGON_SERVERS
0xC000005F STATUS_NO_SUCH_LOGON_SESSION
0xC0000060 STATUS_NO_SUCH_PRIVILEGE
0xC0000061 STATUS_PRIVILEGE_NOT_HELD
0xC0000062 STATUS_INVALID_ACCOUNT_NAME
0xC0000063 STATUS_USER_EXISTS
